Date,Open,High,Low,Close,Volume
10/03/2025,"254.67","259.24","253.95","258.02","49,155,609"
10/02/2025,"256.58","258.18","254.15","257.13","42,630,238"
10/01/2025,"255.04","258.79","254.93","255.45","48,713,941"
09/30/2025,"254.86","255.92","253.11","254.63","37,704,262"
09/29/2025,"254.56","255.00","253.01","254.43","40,127,688"
09/26/2025,"254.10","257.60","253.78","255.46","46,076,262"
09/25/2025,"253.21","257.17","251.71","256.87","55,202,078"
09/24/2025,"255.22","255.74","251.04","252.31","42,303,711"
09/23/2025,"255.88","257.34","253.58","254.43","60,275,191"
09/22/2025,"248.30","256.64","248.12","256.08","105,517,398"
09/19/2025,"241.23","246.30","240.21","245.50","163,741,297"
09/18/2025,"239.97","241.20","236.65","237.88","44,249,578"
09/17/2025,"238.97","240.10","237.73","238.99","46,508,020"
09/16/2025,"237.18","241.22","236.32","238.15","63,421,102"
09/15/2025,"237.00","238.19","235.03","236.70","42,699,520"
09/12/2025,"229.22","234.51","229.02","234.07","55,824,219"
09/11/2025,"226.88","230.45","226.65","230.03","50,208,578"
09/10/2025,"232.19","232.42","225.95","226.79","83,440,805"
09/09/2025,"237.00","238.78","233.36","234.35","66,313,922"
09/08/2025,"239.30","240.15","236.34","237.88","48,999,500"
09/05/2025,"240.00","241.32","238.49","239.69","54,870,398"
09/04/2025,"238.45","239.90","236.74","239.78","47,549,434"
09/03/2025,"237.21","238.85","234.36","238.47","66,427,844"
