Date,Open,High,Low,Close,Volume
09/26/2025,"7,380.40","7,507.00","7,275.20","7,313.30","8,021"
09/25/2025,"7,565.00","7,599.00","7,378.95","7,405.55","28,796"
09/24/2025,"7,598.95","7,607.60","7,508.50","7,533.20","8,064"
09/23/2025,"7,659.90","7,676.85","7,562.00","7,638.40","10,497"
09/22/2025,"7,647.80","7,711.30","7,501.00","7,659.90","11,163"
09/19/2025,"7,440.45","7,569.35","7,440.40","7,548.00","16,717"
09/18/2025,"7,360.00","7,450.00","7,350.00","7,443.80","4,746"
09/17/2025,"7,469.45","7,469.45","7,306.00","7,357.55","12,215"
09/16/2025,"7,250.00","7,404.25","7,236.05","7,397.45","10,242"
09/15/2025,"7,269.35","7,279.15","7,131.00","7,248.00","3,912"
09/12/2025,"7,269.85","7,303.90","7,238.90","7,251.80","4,697"
09/11/2025,"7,268.95","7,284.60","7,150.00","7,219.80","6,026"
09/10/2025,"7,293.80","7,293.80","7,192.80","7,209.65","5,226"
09/09/2025,"7,331.40","7,342.95","7,175.00","7,196.40","8,315"
09/08/2025,"7,249.95","7,378.20","7,235.05","7,331.20","13,585"
09/05/2025,"7,257.25","7,315.00","7,218.45","7,228.90","7,133"
09/04/2025,"7,289.95","7,324.15","7,240.00","7,257.25","57,750"
09/03/2025,"7,150.05","7,244.00","7,150.05","7,232.95","11,282"
09/02/2025,"7,150.00","7,199.00","7,116.40","7,179.35","8,731"
09/01/2025,"7,101.85","7,159.95","7,066.60","7,145.55","6,426"
08/29/2025,"7,159.80","7,180.05","7,068.40","7,085.10","7,187"
08/28/2025,"7,075.05","7,174.65","6,987.00","7,105.30","8,681"
08/26/2025,"7,071.85","7,095.00","6,986.15","7,063.45","7,038"
08/25/2025,"7,117.25","7,152.25","7,053.20","7,066.90","8,685"
08/22/2025,"7,153.95","7,164.45","7,080.00","7,103.10","8,781"
08/21/2025,"7,160.00","7,179.05","7,068.05","7,085.65","4,466"
08/20/2025,"7,143.75","7,205.00","7,129.00","7,154.30","5,954"
08/19/2025,"7,083.55","7,131.85","7,028.00","7,113.00","5,518"
08/18/2025,"7,010.10","7,185.00","7,010.10","7,083.50","8,015"
08/14/2025,"6,999.95","6,999.95","6,909.55","6,965.20","2,725"
08/13/2025,"6,820.60","6,977.95","6,820.60","6,963.40","18,111"
08/12/2025,"6,753.90","6,824.25","6,622.00","6,803.60","10,816"
08/11/2025,"6,743.35","6,809.90","6,671.40","6,753.85","9,240"
08/08/2025,"6,859.95","6,900.00","6,719.65","6,743.20","6,060"
08/07/2025,"6,822.90","6,896.00","6,744.80","6,872.00","6,672"
08/06/2025,"6,900.20","6,927.50","6,680.00","6,823.10","19,148"
08/05/2025,"6,919.75","6,950.00","6,883.00","6,925.95","10,468"
08/04/2025,"6,666.15","6,936.00","6,666.15","6,923.75","16,446"
08/01/2025,"6,771.75","6,857.85","6,676.35","6,698.90","7,168"
07/31/2025,"6,712.20","6,880.70","6,712.20","6,820.40","24,436"
07/30/2025,"6,980.00","6,983.70","6,868.05","6,928.95","11,241"
07/29/2025,"6,836.95","6,975.00","6,793.10","6,963.05","14,302"
07/28/2025,"6,728.60","6,850.00","6,728.60","6,837.85","16,231"
07/25/2025,"6,883.10","6,883.10","6,713.55","6,735.85","5,451"
07/24/2025,"6,884.00","6,932.15","6,804.25","6,837.30","5,830"
07/23/2025,"7,043.35","7,043.35","6,851.00","6,883.65","11,864"
07/22/2025,"7,045.00","7,072.55","6,945.20","6,962.75","8,397"
07/21/2025,"6,960.00","7,060.00","6,822.70","7,040.05","30,696"
07/18/2025,"6,998.00","7,080.00","6,900.50","6,934.40","42,314"
07/17/2025,"6,999.80","6,999.80","6,809.90","6,884.70","26,452"
07/16/2025,"6,888.35","7,010.00","6,888.35","6,944.85","13,235"
07/15/2025,"6,797.55","6,954.00","6,797.55","6,946.35","24,117"
07/14/2025,"6,850.00","6,878.75","6,721.90","6,797.55","14,144"
07/11/2025,"6,758.60","6,779.95","6,645.40","6,712.05","4,327"
07/10/2025,"6,711.00","6,803.50","6,695.10","6,771.30","5,864"
07/09/2025,"6,705.20","6,790.95","6,670.05","6,713.45","5,587"
07/08/2025,"6,645.35","6,765.65","6,621.65","6,754.15","3,275"
07/07/2025,"6,719.60","6,740.25","6,604.55","6,697.85","4,244"
07/04/2025,"6,815.05","6,873.90","6,666.65","6,716.75","7,659"
07/03/2025,"6,770.00","6,869.95","6,740.05","6,807.00","19,289"
07/02/2025,"6,670.00","6,780.75","6,638.85","6,770.25","21,614"
07/01/2025,"6,593.75","6,685.00","6,565.00","6,664.65","9,026"
06/30/2025,"6,475.05","6,562.05","6,472.10","6,548.65","5,578"
06/27/2025,"6,467.65","6,583.40","6,467.65","6,498.00","6,939"
06/26/2025,"6,498.60","6,498.60","6,389.50","6,467.55","7,527"
06/25/2025,"6,345.30","6,496.00","6,345.30","6,440.70","16,278"
06/24/2025,"6,315.00","6,425.00","6,256.95","6,343.40","30,196"
06/23/2025,"6,000.20","6,330.25","5,982.80","6,291.05","42,821"
06/20/2025,"5,820.00","6,015.05","5,805.50","6,000.20","8,726"
06/19/2025,"5,989.00","6,012.50","5,786.00","5,820.50","18,321"
06/18/2025,"6,249.85","6,249.85","5,977.35","5,989.65","20,714"
06/17/2025,"6,120.00","6,120.00","5,970.25","6,041.45","3,606"
06/16/2025,"6,001.25","6,130.00","5,971.20","6,104.00","10,903"
06/13/2025,"5,849.95","6,053.95","5,800.00","6,034.60","6,073"
06/12/2025,"6,168.00","6,168.00","6,013.85","6,048.60","11,281"
06/11/2025,"6,110.40","6,215.80","6,110.40","6,166.80","9,304"
06/10/2025,"6,170.75","6,175.80","6,105.00","6,144.05","4,913"
06/09/2025,"6,150.40","6,257.95","6,133.60","6,143.45","9,088"
06/06/2025,"5,990.70","6,119.70","5,960.00","6,108.25","9,463"
06/05/2025,"5,897.00","6,019.95","5,874.50","5,979.10","5,885"
06/04/2025,"5,881.05","5,916.65","5,829.00","5,895.05","5,272"
06/03/2025,"5,975.65","5,975.65","5,852.05","5,871.70","4,236"
06/02/2025,"5,950.30","6,010.00","5,911.00","5,926.00","10,322"
05/30/2025,"6,039.40","6,045.50","5,963.10","5,991.80","6,739"
05/29/2025,"6,098.00","6,098.00","5,971.25","5,994.60","10,127"
05/28/2025,"5,995.00","6,088.50","5,946.55","6,055.75","11,057"
05/27/2025,"5,910.35","6,020.00","5,910.35","5,960.30","20,944"
05/26/2025,"5,925.05","5,966.95","5,913.50","5,951.00","5,892"
05/23/2025,"5,972.25","5,991.50","5,870.00","5,883.40","3,197"
05/22/2025,"6,016.40","6,040.00","5,898.00","5,946.45","8,547"
05/21/2025,"6,056.00","6,073.40","5,982.00","6,049.55","9,496"
05/20/2025,"6,173.70","6,173.70","5,992.60","6,016.05","7,844"
05/19/2025,"6,129.85","6,165.00","6,069.70","6,101.95","6,030"
05/16/2025,"6,089.80","6,116.00","6,020.00","6,093.60","4,667"
05/15/2025,"6,015.00","6,068.00","5,990.00","6,040.35","8,021"
05/14/2025,"6,010.00","6,037.50","5,914.00","5,970.55","11,593"
05/13/2025,"5,999.50","6,053.75","5,953.00","6,005.70","9,081"
05/12/2025,"5,912.80","6,017.95","5,880.10","5,985.70","34,452"
05/09/2025,"5,535.30","5,790.00","5,535.30","5,766.80","31,039"
05/08/2025,"5,940.00","5,943.85","5,730.00","5,765.55","12,443"
05/07/2025,"5,851.15","6,057.55","5,824.55","5,885.85","71,339"
05/06/2025,"5,810.00","6,078.00","5,727.45","5,907.65","201,600"
05/05/2025,"5,536.55","5,810.00","5,536.55","5,798.90","31,109"
05/02/2025,"5,475.50","5,580.00","5,450.00","5,464.25","25,278"
04/30/2025,"5,540.30","5,603.00","5,477.50","5,523.15","6,300"
04/29/2025,"5,596.45","5,691.00","5,551.25","5,568.85","7,225"
04/28/2025,"5,497.00","5,613.00","5,460.90","5,596.45","11,580"
04/25/2025,"5,540.00","5,586.90","5,382.75","5,502.10","30,695"
04/24/2025,"5,629.80","5,630.00","5,493.50","5,516.90","12,179"
04/23/2025,"5,598.95","5,620.00","5,460.50","5,613.10","28,515"
04/22/2025,"5,469.55","5,569.65","5,440.00","5,511.85","15,276"
04/21/2025,"5,294.50","5,435.00","5,284.00","5,410.45","18,605"
04/17/2025,"5,292.00","5,334.00","5,249.50","5,293.10","8,894"
04/16/2025,"5,250.20","5,335.20","5,227.00","5,298.90","10,865"
04/15/2025,"5,171.05","5,258.00","5,129.50","5,248.95","27,364"
04/11/2025,"5,101.95","5,176.00","5,042.00","5,095.45","32,148"
04/09/2025,"4,980.80","5,027.70","4,893.35","5,005.75","13,092"
04/08/2025,"4,999.95","5,100.20","4,927.20","4,986.15","19,895"
04/07/2025,"4,850.00","4,961.80","4,574.55","4,931.30","27,291"
04/04/2025,"5,187.90","5,200.00","4,980.35","5,038.45","27,541"
04/03/2025,"5,180.70","5,265.80","5,165.00","5,204.35","22,853"
04/02/2025,"5,103.55","5,303.00","4,985.50","5,286.85","28,097"
04/01/2025,"5,068.00","5,161.00","5,065.00","5,100.30","25,325"
